message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=5.784908, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.305829175";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.629444])";"30";"turtlesim1.sim";"1759221800.284586942";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.038801, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.266608810";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.783795, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.252701696";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.051651, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.234109878";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.633529])";"30";"turtlesim1.sim";"1759221800.233630331";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.782682, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.220709165";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.064500, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.197253317";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.637614])";"30";"turtlesim1.sim";"1759221800.196353038";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.781568, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.160850658";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.077349, y=-0.029307])";"30";"turtlesim2.sim";"1759221800.150252646";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.641698])";"30";"turtlesim1.sim";"1759221800.144099896";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.780455, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.112855238";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.645783])";"30";"turtlesim1.sim";"1759221800.077384613";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=3.103048, y=-0.023857])";"30";"turtlesim2.sim";"1759221800.063005853";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.779342, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.054273420";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.649868])";"30";"turtlesim1.sim";"1759221800.028900795";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.778229, y=-0.031981])";"30";"turtlesim3.sim";"1759221800.002735412";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.653953])";"30";"turtlesim1.sim";"1759221799.982085976";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.777115, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.960491541";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.658038])";"30";"turtlesim1.sim";"1759221799.938568300";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.776002, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.909546402";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.662123])";"30";"turtlesim1.sim";"1759221799.864044526";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.774889, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.840248615";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.666207])";"30";"turtlesim1.sim";"1759221799.822148687";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.773776, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.794873720";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.670292])";"30";"turtlesim1.sim";"1759221799.787505886";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.772662, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.760726885";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.674377])";"30";"turtlesim1.sim";"1759221799.729269882";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.771549, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.707639073";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.678462])";"30";"turtlesim1.sim";"1759221799.680411675";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.770436, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.668342011";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.682547])";"30";"turtlesim1.sim";"1759221799.628251538";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.769323, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.618802775";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.686631])";"30";"turtlesim1.sim";"1759221799.590867482";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.768209, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.581867517";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.690716])";"30";"turtlesim1.sim";"1759221799.542319753";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.767096, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.525852527";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.694801])";"30";"turtlesim1.sim";"1759221799.509241681";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.765983, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.481984241";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.698886])";"30";"turtlesim1.sim";"1759221799.463679008";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.764870, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.449128923";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.702971])";"30";"turtlesim1.sim";"1759221799.401686492";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.763756, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.395873461";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.707056])";"30";"turtlesim1.sim";"1759221799.360117060";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.762643, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.355717960";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.711140])";"30";"turtlesim1.sim";"1759221799.314544216";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.761530, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.310179486";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.715225])";"30";"turtlesim1.sim";"1759221799.273175736";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.760417, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.262240062";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.719310])";"30";"turtlesim1.sim";"1759221799.231752607";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.759303, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.209770528";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.723395])";"30";"turtlesim1.sim";"1759221799.163356691";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.758190, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.162911181";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.757077, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.130768882";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.727480])";"30";"turtlesim1.sim";"1759221799.123741236";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.731565])";"30";"turtlesim1.sim";"1759221799.084958902";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.755964, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.078500541";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.735649])";"30";"turtlesim1.sim";"1759221799.039904795";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.754850, y=-0.031981])";"30";"turtlesim3.sim";"1759221799.026316175";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.739734])";"30";"turtlesim1.sim";"1759221798.987727593";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.753737, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.992365725";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.752624, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.932999597";"./src/turtle.cpp:update:288"
